5	1	1.03416	1.03416	1.03416	1
5	2	1.03416	1.03416	1.03416	1
5	3	1.03416	1.03416	1.03416	1
5	4	0.02064	1.97617	1.99897	1
5	5	0.4261	2.30082	2.4719	1
5	6	0.60664	2.41826	2.68654	1
5	7	0.0231	1.98243	2.00407	1
5	8	0.3271	2.23161	2.3633	1
5	9	0.02458	1.98642	2.00643	1
5	10	0.75005	0.97597	0.96592	1
5	11	0.78028	0.97898	0.97481	1
5	12	0.68579	0.96677	0.95118	1
10	1	1.03295	1.03295	1.03295	1
10	2	1.03295	1.03295	1.03295	1
10	3	1.03295	1.03295	1.03295	1
10	4	0.02041	1.97101	1.9967	1
10	5	0.42467	2.26505	2.46886	1
10	6	0.60357	2.3979	2.67964	1
10	7	0.02314	1.97665	2.00278	1
10	8	0.32666	2.2199	2.36125	1
10	9	0.0246	1.98093	2.00491	1
10	10	0.74993	0.9771	0.96279	1
10	11	0.77989	0.97972	0.97197	1
10	12	0.68536	0.96407	0.95179	1
15	1	1.03121	1.03121	1.03121	1
15	2	1.03121	1.03121	1.03121	1
15	3	1.03121	1.03121	1.03121	1
15	4	0.02016	1.96468	1.99295	1
15	5	0.42302	2.23829	2.46248	1
15	6	0.59919	2.36534	2.66855	1
15	7	0.02321	1.96944	2.00032	1
15	8	0.32636	2.2012	2.35828	1
15	9	0.02461	1.97385	2.00234	1
15	10	0.74964	0.9779	0.95906	1
15	11	0.77927	0.98015	0.96852	1
15	12	0.68472	0.96072	0.95213	1
20	1	1.02928	1.02928	1.02928	1
20	2	1.02928	1.02928	1.02928	1
20	3	1.02928	1.02928	1.02928	1
20	4	0.01996	1.95816	1.98857	1
20	5	0.4214	2.21378	2.45485	1
20	6	0.59503	2.33529	2.65657	1
20	7	0.0233	1.96215	1.99716	1
20	8	0.32612	2.18288	2.35416	1
20	9	0.02464	1.96668	1.99908	1
20	10	0.74922	0.97823	0.95543	1
20	11	0.77853	0.98016	0.96512	1
20	12	0.68398	0.95738	0.95208	1
5	1	1.03416	0.63753	0.67004	2
5	2	1.03416	0.68396	0.7028	2
5	3	1.03416	0.69446	0.70139	2
5	4	1.03416	0.51414	0.52516	2
5	5	1.03416	0.71698	0.70647	2
5	6	1.03416	0.75444	0.7377	2
5	7	1.03416	0.51577	0.52552	2
5	8	1.03416	0.67236	0.66882	2
5	9	1.03416	0.51764	0.52503	2
5	10	1.03416	0.68399	0.70282	2
5	11	1.03416	0.69448	0.70141	2
5	12	1.03416	0.63755	0.67006	2
