1.02991	1.02991	1.02991	1
1.02991	1.02991	1.02991	1
1.02991	1.02991	1.02991	1
0.02085	1.95979	1.99251	1
0.42337	2.22625	2.45911	1
0.60025	2.36661	2.667	1
0.02284	1.96861	1.99467	1
0.32116	2.19793	2.34813	1
0.0246	1.97104	1.99933	1
0.74789	0.96879	0.9655	1
0.77847	0.97922	0.96707	1
0.68546	0.96805	0.94281	1
1.02991	0.62611	0.67928	2
1.02991	0.69136	0.69094	2
1.02991	0.68328	0.70858	2
1.02991	0.50888	0.52621	2
1.02991	0.70592	0.71679	2
1.02991	0.74567	0.74419	2
1.02991	0.51381	0.52332	2
1.02991	0.66446	0.67503	2
1.02991	0.51229	0.52618	2
1.02991	0.69138	0.69096	2
1.02991	0.6833	0.7086	2
1.02991	0.62613	0.6793	2
0.4641	0.4641	0.4641	3
0.5323	0.5323	0.5323	3
0.54073	0.54073	0.54073	3
0.06056	0.06056	0.06056	3
0.56672	0.56672	0.56672	3
0.62155	0.62155	0.62155	3
0.07072	0.07072	0.07072	3
0.49452	0.49452	0.49452	3
0.07721	0.07721	0.07721	3
0.53234	0.53234	0.53234	3
0.54078	0.54077	0.54077	3
0.46414	0.46414	0.46414	3
1.02991	0.62611	0.67928	4
1.02991	0.69136	0.69094	4
1.02991	0.68328	0.70858	4
1.59631	0.0557	0.04988	4
1.68548	0.55802	0.44008	4
1.72465	0.62347	0.48286	4
1.59748	0.06093	0.06236	4
1.67236	0.46985	0.40034	4
1.59834	0.06776	0.06678	4
0.9073	0.64797	0.64561	4
0.92762	0.64922	0.66888	4
0.8715	0.57235	0.61263	4



